date,Newcase_Raw
2023-01-09,66.70435
2023-01-10,64.9401
2023-01-11,61.899796
2023-01-12,55.316315
2023-01-13,49.145615
2023-01-14,44.529636
2023-01-15,40.927788
2023-01-16,38.34217
2023-01-17,36.309715
2023-01-18,34.126396
2023-01-19,32.21547
2023-01-20,31.115429
2023-01-21,30.17044
2023-01-22,29.619373
2023-01-23,29.66966
2023-01-24,29.784903
2023-01-25,29.975576
2023-01-26,31.15943
2023-01-27,32.27204
2023-01-28,33.351128
2023-01-29,34.574795
2023-01-30,35.494637
2023-01-31,36.642868
2023-02-01,38.530746
2023-02-02,40.165092
2023-02-03,41.89373
2023-02-04,43.312256
2023-02-05,44.399727
2023-02-06,45.313282
2023-02-07,46.071785
2023-02-08,46.958103
2023-02-09,47.305927
2023-02-10,47.69985
2023-02-11,47.982716
2023-02-12,48.663692
2023-02-13,49.040848
2023-02-14,49.80983
2023-02-15,51.708183
2023-02-16,53.763687
2023-02-17,54.993637
2023-02-18,56.95066
2023-02-19,58.576626
2023-02-20,59.766766
2023-02-21,60.850044
2023-02-22,60.898235
2023-02-23,60.904522
2023-02-24,60.822803
2023-02-25,59.743717
2023-02-26,58.339855
2023-02-27,57.484966
2023-02-28,56.363976
2023-03-01,56.018246
2023-03-02,55.697662
2023-03-03,56.045486
2023-03-04,56.40169
2023-03-05,57.07219
2023-03-06,57.23772
2023-03-07,57.933365
2023-03-08,58.666725
2023-03-09,59.423134
2023-03-10,60.17745
2023-03-11,61.02605
2023-03-12,61.639977
2023-03-13,62.926502
2023-03-14,64.91286
2023-03-15,66.55768
2023-03-16,68.04745
2023-03-17,68.33451
2023-03-18,69.497406
2023-03-19,69.8599
2023-03-20,69.91647
2023-03-21,69.22921
2023-03-22,68.00135
2023-03-23,67.32666
2023-03-24,67.31828
2023-03-25,66.346054
2023-03-26,66.31463
2023-03-27,65.48069
2023-03-28,64.21512
2023-03-29,62.37543
2023-03-30,59.659904
2023-03-31,57.54783
2023-04-01,55.49442
2023-04-02,52.74327
2023-04-03,51.2535
2023-04-04,49.16657
2023-04-05,45.7533
2023-04-06,42.633373
2023-04-07,39.99328
2023-04-08,37.539665
2023-04-09,35.39825
2023-04-10,34.07192
2023-04-11,32.72463
2023-04-12,32.001747
2023-04-13,32.267853
2023-04-14,31.72726
2023-04-15,31.415058
2023-04-16,31.255814
2023-04-17,30.675411
2023-04-18,30.916372
2023-04-19,30.69427
2023-04-20,29.376316
2023-04-21,28.412472
2023-04-22,27.415102
2023-04-23,26.868225
2023-04-24,26.6105
2023-04-25,25.763994
2023-04-26,24.867199
2023-04-27,24.416706
2023-04-28,24.112885
2023-04-29,24.096123
2023-04-30,24.079361
2023-05-01,24.1506
2023-05-02,23.7483
2023-05-03,23.501053
2023-05-04,23.850971
2023-05-05,23.71268
2023-05-06,23.643536
2023-05-07,23.264282
2023-05-08,22.577019
2023-05-09,22.172623
2023-05-10,21.445549
2023-05-11,20.624186
2023-05-12,20.068928
2023-05-13,19.398426
2023-05-14,18.811739
2023-05-15,18.49744
2023-05-16,18.304672
2023-05-17,17.896086
2023-05-18,17.037006
2023-05-19,16.412603
2023-05-20,15.890869
2023-05-21,15.700195
2023-05-22,15.513713
2023-05-23,15.2119875
2023-05-24,15.09884
2023-05-25,15.033885
2023-05-26,14.857879
2023-05-27,14.507961
2023-05-28,14.162234
2023-05-29,13.826983
2023-05-30,13.2025795
2023-05-31,12.418932
2023-06-01,11.865769
2023-06-02,11.618522
2023-06-03,11.300034
2023-06-04,11.023453
2023-06-05,10.830684
2023-06-06,10.836969
2023-06-07,10.968974
2023-06-08,10.948021
2023-06-09,10.660963
2023-06-10,10.459812
2023-06-11,10.256567
2023-06-12,10.038654
2023-06-13,9.835409
2023-06-14,9.403774
2023-06-15,8.825467
2023-06-16,8.305829
2023-06-17,7.9077187
2023-06-18,7.5850406
2023-06-19,7.4907513
2023-06-20,7.103118
2023-06-21,6.6672926
2023-06-22,6.365567
2023-06-23,6.1246057
2023-06-24,6.0156493
2023-06-25,5.875263
2023-06-26,5.6741133
2023-06-27,5.560966
2023-06-28,5.3095284
2023-06-29,5.0874248
2023-06-30,4.942848
2023-07-01,4.714459
2023-07-02,4.5971212
2023-07-03,4.5007367
2023-07-04,4.431591
2023-07-05,4.5195947
2023-07-06,4.5656915
2023-07-07,4.689315
2023-07-08,4.869512
2023-07-09,5.143998
2023-07-10,5.3577204
2023-07-11,5.625921
2023-07-12,5.8626914
2023-07-13,6.1769886
2023-07-14,6.342519
2023-07-15,6.549955
2023-07-16,6.524811
2023-07-17,6.617005
2023-07-18,6.6107187
2023-07-19,6.778344
2023-07-20,6.98159
2023-07-21,7.1073084
2023-07-22,7.3210306
2023-07-23,7.5808496
2023-07-24,7.7526655
2023-07-25,8.01877
2023-07-26,8.299542
2023-07-27,8.628508
2023-07-28,9.034998
2023-07-29,9.322057
2023-07-30,9.799788
2023-07-31,10.329903
2023-08-01,10.996213
2023-08-02,11.526328
2023-08-03,11.974726
2023-08-04,12.423122
2023-08-05,12.877806
2023-08-06,13.227724
2023-08-07,13.382777
2023-08-08,13.5776415
2023-08-09,14.032325
2023-08-10,14.711206
2023-08-11,15.346087
2023-08-12,15.880392
2023-08-13,16.295265
